word,field,proposed_value,confidenceNote
either,rareSpelling,false,"rareSpelling: ei = /ee/ in either (British) is standard but ei = /ie/ also common — not rare, just a vowel digraph variant; confident false but flag"
aunt,rareSpelling,false,rareSpelling: au = /ar/ in aunt (British RP) is unusual — many speakers say /ant/; worth flagging but not definitively rare
neither,rareSpelling,false,rareSpelling: same ei pattern as either — consistent false but flag for review
tongue,rareSpelling,false,rareSpelling: -ongue = /ung/ is unusual pattern; ong = /ung/ not standard — worth flagging but confident false for primary level
forehead,rareSpelling,false,rareSpelling: forehead pronounced /FOR-id/ in RP — the -head is elided; borderline rareSpelling
row,rareSpelling,false,"rareSpelling: ow = /oh/ in 'a row of seats' but /ow/ in 'a row' (argument) — not rare, just polysemous; confident false"
bow,rareSpelling,false,rareSpelling: ow = /oh/ in bow (weapon/ribbon) but /ow/ in bow (bend) — polysemous; confident false
palm,rareSpelling,false,"rareSpelling: silent l in palm — l after a is silent: palm, calm, psalm. Learnable rule so confident false, but worth flagging"
tear,rareSpelling,false,"rareSpelling: tear has two pronunciations: /teer/ (from eye) and /tair/ (to rip) — polysemous, not rareSpelling; confident false"
broad,rareSpelling,false,"rareSpelling: oa = /aw/ in broad — unusual; oa usually = /oh/ (road, boat). Confident false for primary level but worth flagging"
object,stressedSyl,1,"stressedSyl: noun = OB-ject (stress 1), verb = ob-JECT (stress 2); most uses in this database likely noun; defaulting to 1"
record,stressedSyl,1,"stressedSyl: noun = REC-ord (stress 1), verb = rec-ORD (stress 2); noun use more common at this level; defaulting to 1"
project,stressedSyl,1,"stressedSyl: noun = PRO-ject (1), verb = pro-JECT (2); noun more common at primary level; default 1"
mayor,rareSpelling,false,rareSpelling: mayor = /MAIR/ — ay = /air/ is unusual (most ay = /ay/); borderline; confident false
route,rareSpelling,false,rareSpelling: route = /root/ in British English; ou = /oo/ is unusual — most ou = /ow/; learnable pattern but worth flagging
drawer,rareSpelling,false,"rareSpelling: drawer = /draw-er/ but often pronounced /drawr/ as one syllable; not rare, just variable"
progress,stressedSyl,1,"stressedSyl: noun = PRO-gress (1), verb = pro-GRESS (2); noun more common at primary level; default 1"
suspect,stressedSyl,2,"stressedSyl: noun = SUS-pect (1), verb = sus-PECT (2); verb use likely dominant in narratives; default 2 for verb"
protest,stressedSyl,1,"stressedSyl: noun = PRO-test (1), verb = pro-TEST (2); default 1 as noun is most common at this level"
lose,rareSpelling,false,rareSpelling: lose = /looz/ — ose = /ooz/ is unusual (most ose = /ohz/ e.g. nose); confident false at primary level but worth noting
desert,stressedSyl,1,stressedSyl: noun DES-ert (1) vs verb de-SERT (2); noun most common at primary; default 1
camouflage,rareSpelling,false,rareSpelling: French loanword; -flage = /flazh/; ou = /oo/; borderline — learnable with French pattern but unusual at primary level
simile,rareSpelling,false,rareSpelling: final -e is pronounced /lee/ — SIM-i-lee; unusual in English where final e is usually silent; worth flagging
contrast,stressedSyl,1,"stressedSyl: noun CON-trast (1), verb con-TRAST (2); noun most common at primary; default 1"
genre,rareSpelling,false,rareSpelling: French loanword; gen- = /zhon/ — no English rule for this; borderline rareSpelling
export,stressedSyl,1,"stressedSyl: noun EX-port (1), verb ex-PORT (2); noun default"
import,stressedSyl,1,"stressedSyl: noun IM-port (1), verb im-PORT (2); noun default"
impact,stressedSyl,1,"stressedSyl: noun IM-pact (1), verb im-PACT (2); noun default"
content,stressedSyl,1,stressedSyl: adjective/noun CON-tent (1); verb con-TENT (2); adjective most common at primary; default 1
borough,rareSpelling,false,rareSpelling: -ough = /uh/ in borough — one of six different ough pronunciations; the /uh/ variant (also thorough) is arguably learnable as a pattern but genuinely unusual
bough,rareSpelling,false,rareSpelling: -ough = /ow/ in bough — another variant; confident false as it's the same pattern as plough
survey,stressedSyl,1,"stressedSyl: noun SUR-vey (1), verb sur-VEY (2); noun most common at primary; default 1"
grimace,stressedSyl,2,stressedSyl: GRIM-ace (1) or grim-ACE (2) — both used; British tendency towards stress 1; default 2 as verb
tsunami,rareSpelling,false,rareSpelling: silent t at start (Japanese loanword); ts = /s/ at start of word is unusual in English
